School Name,City,State,District Name,2010/11/Award Amount,Model Selected,Location
LA PUERTA HIGH SCHOOL,PHOENIX,AZ,OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.,"$634,503.00 ",Turnaround,"5757 WEST MCDOWELL RD
PHOENIX, AZ 85035
(33.466, -112.184)"
PROJECT MORE HIGH SCHOOL,TUCSON,AZ,TUCSON UNIFIED DISTRICT,"$836,556.00 ",Transformation,"440 SOUTH PARK
TUCSON, AZ 85719
(32.218, -110.957)"
PEACH SPRINGS SCHOOL,PEACH SPRINGS,AZ,PEACH SPRINGS UNIFIED DISTRICT,"$880,050.00 ",Transformation,"403 DIAMOND CREEK RD
PEACH SPRINGS, AZ 86434
(35.5352, -113.424)"
WHITE CONE HIGH SCHOOL,WHITE CONE,AZ,CEDAR UNIFIED DISTRICT,"$728,696.00 ",Transformation,"HWY 77 MILE POST 31.2
WHITE CONE, AZ 86031
(35.5605, -110.042)"
JAMES SANDOVAL PREPARATORY HIGH SCHOOL,PHOENIX,AZ,JAMES SANDOVAL PREPARATORY HIGH SCHOOL,"$696,668.00 ",Transformation,"3830 NORTH 67TH AVE
PHOENIX, AZ 85033
(33.4916, -112.203)"
SEVEN MILE SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,"$826,589.00 ",Transformation,"2005 FT. APACHE
WHITERIVER, AZ 85941
(33.8048, -109.996)"
Rice Elementary School,San Carlos,AZ,San Carlos Unified District,"$204,246.00 ",Transformation,"San Carlos Avenue
San Carlos, AZ 85550
(33.3557, -110.452)"
HOWENSTINE HIGH SCHOOL,TUCSON,AZ,TUCSON UNIFIED DISTRICT,"$760,314.00 ",Transformation,"555 SOUTH TUCSON BLVD
TUCSON, AZ 85716
(32.2156, -110.935)"
BABOQUIVARI HIGH SCHOOL,SELLS,AZ,INDIAN OASIS-BABOQUIVARI UNIFIED DISTRICT,"$558,022.00 ",Turnaround,"111 WEST MAIN
SELLS, AZ 85634
(32.0827, -112.072)"
IMAGINE ELEMENTARY AT CAMELBACK,PHOENIX,AZ,IMAGINE CHARTER ELEMENTARY AT CAMELBACK  INC.,"$696,520.00 ",Turnaround,"5050 NORTH 19TH AVE
PHOENIX, AZ 85015
(33.5111, -112.101)"
MT TIPTON ELEMENTARY SCHOOL,DOLAN SPRINGS,AZ,KINGMAN UNIFIED SCHOOL DISTRICT,"$565,322.00 ",Transformation,"16500 PIERCE FERRY RD
DOLAN SPRINGS, AZ 86441
(35.6811, -114.188)"
CANYON DAY JUNIOR HIGH SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,"$599,344.00 ",Transformation,"4621 SOUTH 9TH ST
WHITERIVER, AZ 85941
(33.8932, -109.951)"
SELIGMAN HIGH SCHOOL,SELIGMAN,AZ,SELIGMAN UNIFIED DISTRICT,"$490,954.00 ",Turnaround,"500 NORTH MAIN ST
SELIGMAN, AZ 86337
(35.3298, -112.874)"
FREMONT MIDDLE,POMONA,CA,POMONA UNIFIED,"$174,245.00 ",Transformation,"725 WEST FRANKLIN AVE
POMONA, CA 91766
(34.0405, -117.757)"
SIERRA INTERMEDIATE,SANTA ANA,CA,SANTA ANA UNIFIED,"$181,152.00 ",Transformation,"2021 NORTH GRAND AVE
SANTA ANA, CA 92705
(33.7636, -117.852)"
LONGWOOD ELEMENTARY,HAYWARD,CA,HAYWARD UNIFIED,"$162,698.00 ",Turnaround,"850 LONGWOOD AVE
HAYWARD, CA 94541
(37.6591, -122.11)"
MCFARLAND HIGH,MCFARLAND,CA,MCFARLAND UNIFIED,"$997,852.00 ",Transformation,"259 SHERWOOD AVE
MCFARLAND, CA 93250
(35.6744, -119.223)"
PACIFIC HIGH,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,$2.00 ,Transformation,"1020 PACIFIC ST
SAN BERNARDINO, CA 92404
(34.1287, -117.266)"
GREENFIELD ELEMENTARY,GREENFIELD,CA,GREENFIELD UNION ELEMENTARY,"$743,444.00 ",Transformation,"490 EL CAMINO REAL
GREENFIELD, CA 93927
(36.3266, -121.248)"
TUMBLEWEED ELEMENTARY,PALMDALE,CA,PALMDALE ELEMENTARY,"$179,933.00 ",Turnaround,"1100 EAST AVE R-4
PALMDALE, CA 93550
(34.569, -118.109)"
HILLSIDE ELEMENTARY,SAN LEANDRO,CA,SAN LORENZO UNIFIED,"$530,980.00 ",Transformation,"15980 MARCELLA ST
SAN LEANDRO, CA 94578
(37.7018, -122.117)"
FLORENCE GRIFFITH JOYNER ELEMENTARY,LOS ANGELES,CA,LOS ANGELES UNIFIED,"$188,694.00 ",Restart,"1963 EAST 103RD ST
LOS ANGELES, CA 90002
(33.9432, -118.237)"
SAN GORGONIO HIGH,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,$2.00 ,Transformation,"2299 EAST PACIFIC AVE
SAN BERNARDINO, CA 92404
(34.1286, -117.237)"
FONTANA A. B. MILLER HIGH,FONTANA,CA,FONTANA UNIFIED,"$1,795.00 ",Transformation,"6821 OLEANDER AVE
FONTANA, CA 92336
(34.1301, -117.449)"
ELMHURST COMMUNITY PREP,OAKLAND,CA,OAKLAND UNIFIED,"$121,793.00 ",Transformation,"1800 98TH AVE
OAKLAND, CA 94603
(37.7464, -122.166)"
PAUL REVERE ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$181,577.00 ",Transformation,"555 TOMPKINS AVE
SAN FRANCISCO, CA 94110
(37.7371, -122.413)"
SAMUEL GOMPERS MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,"$189,201.00 ",Restart,"234 EAST 112TH ST
LOS ANGELES, CA 90061
(33.9328, -118.277)"
DAVIDSON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,"$148,577.00 ",Transformation,"2844 DAVIDSON ST
SAN BERNARDINO, CA 92405
(34.1436, -117.31)"
PALM AVENUE ELEMENTARY,WASCO,CA,WASCO UNION ELEMENTARY,"$148,665.00 ",Transformation,"1017 PALM AVE
WASCO, CA 93280
(35.5904, -119.349)"
SHORE ACRES ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,"$12,252.00 ",Transformation,"351 MARINA RD
BAY POINT, CA 94565
(38.035, -121.97)"
CESAR CHAVEZ ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$175,737.00 ",Transformation,"825 SHOTWELL ST
SAN FRANCISCO, CA 94110
(37.7549, -122.415)"
BUTTONWILLOW ELEMENTARY,BUTTONWILLOW,CA,BUTTONWILLOW UNION ELEMENTARY,"$559,268.00 ",Transformation,"42600 HWY 58
BUTTONWILLOW, CA 93206
(35.4002, -119.476)"
EDISON-RONALD MCNAIR INTERMEDIATE,EAST PALO ALTO,CA,RAVENSWOOD CITY ELEMENTARY,"$135,806.00 ",Turnaround,"2033 PULGAS AVE
EAST PALO ALTO, CA 94303
(37.4618, -122.13)"
CENTURY HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,"$197,223.00 ",Transformation,"1401 SOUTH GRAND AVE
SANTA ANA, CA 92705
(33.7302, -117.85)"
LAKESIDE ELEMENTARY,HANFORD,CA,LAKESIDE UNION ELEMENTARY,"$913,211.00 ",Transformation,"9100 JERSEY AVE
HANFORD, CA 93230
(36.2405, -119.625)"
KING/CHAVEZ ARTS ACADEMY,SAN DIEGO,CA,SAN DIEGO UNIFIED,"$102,906.00 ",Transformation,"415 31ST ST
SAN DIEGO, CA 92102
(32.7099, -117.126)"
PHARIS F. FEDDE MIDDLE,HAWAIIAN GARDENS,CA,ABC UNIFIED,"$1,177.00 ",Transformation,"21409 SOUTH ELAINE AVE
HAWAIIAN GARDENS, CA 90716
(33.835, -118.076)"
SEASIDE HIGH,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,"$159,471.00 ",Turnaround,"2200 NOCHE BUENA ST
SEASIDE, CA 93955
(36.6217, -121.838)"
ELLA ELEMENTARY,OLIVEHURST,CA,MARYSVILLE JOINT UNIFIED,"$180,738.00 ",Turnaround,"4850 OLIVEHURST AVE
OLIVEHURST, CA 95961
(39.0945, -121.552)"
WILSON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,"$925,749.00 ",Turnaround,"2894 BELLE ST
SAN BERNARDINO, CA 92404
(34.144, -117.28)"
YOSEMITE MIDDLE,FRESNO,CA,FRESNO UNIFIED,"$173,752.00 ",Turnaround,"1292 NORTH NINTH ST
FRESNO, CA 93703
(36.7594, -119.759)"
T. S. MACQUIDDY ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,"$577,030.00 ",Transformation,"330 MARTINELLI ST
WATSONVILLE, CA 95076
(36.9272, -121.752)"
ENCINA PREPARATORY HIGH,SACRAMENTO,CA,SAN JUAN UNIFIED,"$102,743.00 ",Turnaround,"1400 BELL ST
SACRAMENTO, CA 95825
(38.5915, -121.41)"
EDWIN MARKHAM MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,"$185,886.00 ",Restart,"1650 EAST 104TH ST
LOS ANGELES, CA 90002
(33.9415, -118.245)"
RIO VISTA ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,"$142,575.00 ",Transformation,"1451 CALIFORNIA ST
SAN BERNARDINO, CA 92411
(34.1258, -117.331)"
FELICITA ELEMENTARY,ESCONDIDO,CA,ESCONDIDO UNION,"$171,031.00 ",Turnaround,"737 WEST 13TH AVE
ESCONDIDO, CA 92027
(33.1065, -117.082)"
UNITED FOR SUCCESS ACADEMY,OAKLAND,CA,OAKLAND UNIFIED,"$128,129.00 ",Transformation,"2101 35TH AVE
OAKLAND, CA 94601
(37.7843, -122.217)"
MISSION HIGH,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$201,467.00 ",Transformation,"3750 18TH ST
SAN FRANCISCO, CA 94114
(37.7614, -122.427)"
GARDENA SENIOR HIGH,GARDENA,CA,LOS ANGELES UNIFIED,"$167,368.00 ",Transformation,"1301 WEST 182ND ST
GARDENA, CA 90248
(33.8673, -118.296)"
BARTON ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,$2.00 ,Turnaround,"2214 PUMALO ST
SAN BERNARDINO, CA 92404
(34.1386, -117.238)"
ROSE FERRERO ELEMENTARY,SOLEDAD,CA,SOLEDAD UNIFIED,"$157,616.00 ",Turnaround,"400 ENTRADA DR
SOLEDAD, CA 93960
(36.4378, -121.325)"
GEORGE WASHINGTON CARVER ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$158,151.00 ",Turnaround,"1360 OAKDALE AVE
SAN FRANCISCO, CA 94124
(37.7324, -122.386)"
EASTSIDE HIGH,LANCASTER,CA,ANTELOPE VALLEY UNION HIGH,"$1,695.00 ",Transformation,"3200 EAST AVE J-8
LANCASTER, CA 93535
(34.6825, -118.073)"
GLENBROOK MIDDLE,CONCORD,CA,MT. DIABLO UNIFIED,"$584,002.00 ",Transformation,"2351 OLIVERA RD
CONCORD, CA 94520
(37.9955, -122.036)"
COSTANO ELEMENTARY,EAST PALO ALTO,CA,RAVENSWOOD CITY ELEMENTARY,"$135,806.00 ",Turnaround,"2695 FORDHAM ST
EAST PALO ALTO, CA 94303
(37.4781, -122.139)"
WILLARD INTERMEDIATE,SANTA ANA,CA,SANTA ANA UNIFIED,"$181,152.00 ",Transformation,"1342 NORTH ROSS
SANTA ANA, CA 92706
(33.7568, -117.874)"
PESCADERO ELEMENTARY AND MIDDLE,PESCADERO,CA,LA HONDA-PESCADERO UNIFIED,"$629,711.00 ",Transformation,"620 NORTH ST
PESCADERO, CA 94060
(37.2565, -122.378)"
BURBANK ELEMENTARY,SAN DIEGO,CA,SAN DIEGO UNIFIED,"$116,423.00 ",Transformation,"2146 JULIAN AVE
SAN DIEGO, CA 92113
(32.7009, -117.138)"
HIGHLANDS ACADEMY OF ARTS AND DESIGN,NORTH HIGHLANDS,CA,TWIN RIVERS UNIFIED,"$184,555.00 ",Transformation,"6601 GUTHRIE WAY
NORTH HIGHLANDS, CA 95660
(38.6877, -121.358)"
MARTIN LUTHER KING,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,"$126,595.00 ",Turnaround,"1713 BRDWAY
SEASIDE, CA 93955
(36.6089, -121.827)"
BURBANK ELEMENTARY,HAYWARD,CA,HAYWARD UNIFIED,"$158,712.00 ",Transformation,"353 B ST
HAYWARD, CA 94541
(37.6679, -122.094)"
EMERSON MIDDLE,POMONA,CA,POMONA UNIFIED,"$152,096.00 ",Transformation,"635 LINCOLN AVE
POMONA, CA 91767
(34.0704, -117.741)"
SANTA ANA HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,"$197,223.00 ",Transformation,"520 WEST WALNUT
SANTA ANA, CA 92701
(33.744, -117.875)"
MAYWOOD ACADEMY HIGH,MAYWOOD,CA,LOS ANGELES UNIFIED,"$187,692.00 ",Transformation,"6125 PINE AVE
MAYWOOD, CA 90270
(33.9832, -118.189)"
SHANDIN HILLS MIDDLE,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,$2.00 ,Turnaround,"4301 LITTLE MOUNTAIN DR
SAN BERNARDINO, CA 92407
(34.166, -117.317)"
WEBSTER ELEMENTARY,FRESNO,CA,FRESNO UNIFIED,"$17,325.00 ",Turnaround,"2600 EAST TYLER
FRESNO, CA 93701
(36.7555, -119.78)"
HALL DISTRICT ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,"$630,428.00 ",Transformation,"300 SILL RD
WATSONVILLE, CA 95076
(36.8656, -121.722)"
EVERETT MIDDLE,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$140,557.00 ",Turnaround,"450 CHURCH ST
SAN FRANCISCO, CA 94114
(37.7636, -122.43)"
THOMAS JEFFERSON SENIOR HIGH,LOS ANGELES,CA,LOS ANGELES UNIFIED,"$180,068.00 ",Transformation,"1319 EAST 41ST ST
LOS ANGELES, CA 90011
(34.0092, -118.252)"
MARSHALL ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,"$194,293.00 ",Turnaround,"3288 NORTH G ST
SAN BERNARDINO, CA 92405
(34.1511, -117.299)"
SAN JUAN,SAN JUAN BAUTISTA,CA,AROMAS/SAN JUAN UNIFIED,"$173,426.00 ",Transformation,"100 NYLAND DR
SAN JUAN BAUTISTA, CA 95045
(36.8414, -121.534)"
WEST SHORES HIGH,SALTON CITY,CA,COACHELLA VALLEY UNIFIED,"$126,036.00 ",Turnaround,"2381 SHORE HAWK AVE
SALTON CITY, CA 92275
(33.3011, -115.956)"
EXPLORE MIDDLE,OAKLAND,CA,OAKLAND UNIFIED,"$49,045.00 ",Closure,"3550 64TH AVE
OAKLAND, CA 94605
(37.7757, -122.177)"
JOHN MUIR ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$148,146.00 ",Turnaround,"380 WEBSTER ST
SAN FRANCISCO, CA 94117
(37.7738, -122.429)"
LINCOLN ELEMENTARY,RICHMOND,CA,WEST CONTRA COSTA UNIFIED,"$122,138.00 ",Turnaround,"29 SIXTH ST
RICHMOND, CA 94801
(37.9319, -122.365)"
SEMITROPIC ELEMENTARY,WASCO,CA,SEMITROPIC ELEMENTARY,"$133,333.00 ",Transformation,"25300 HWY 46
WASCO, CA 93280
(35.601, -119.511)"
GEORGE WASHINGTON CARVER MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,"$174,824.00 ",Restart,"4410 MCKINLEY AVE
LOS ANGELES, CA 90011
(34.0031, -118.26)"
BRYANT ELEMENTARY,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$155,171.00 ",Turnaround,"1050 YORK ST
SAN FRANCISCO, CA 94110
(37.7552, -122.409)"
LITTLEROCK HIGH,LITTLEROCK,CA,ANTELOPE VALLEY UNION HIGH,"$17,292.00 ",Transformation,"10833 EAST AVE R
LITTLEROCK, CA 93543
(34.5727, -117.936)"
BEL AIR ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,"$144,166.00 ",Transformation,"663 CANAL RD
BAY POINT, CA 94565
(38.0205, -121.939)"
POMONA SENIOR HIGH,POMONA,CA,POMONA UNIFIED,"$189,832.00 ",Transformation,"475 BANGOR ST
POMONA, CA 91767
(34.0843, -117.742)"
VALLEY HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,"$197,223.00 ",Transformation,"1801 SOUTH GREENVILLE ST
SANTA ANA, CA 92704
(33.723, -117.898)"
TENNYSON HIGH,HAYWARD,CA,HAYWARD UNIFIED,"$179,529.00 ",Transformation,"27035 WHITMAN RD
HAYWARD, CA 94544
(37.6418, -122.068)"
HIGHLAND ELEMENTARY,SEASIDE,CA,MONTEREY PENINSULA UNIFIED,"$126,595.00 ",Turnaround,"1650 SONOMA AVE
SEASIDE, CA 93955
(36.6059, -121.829)"
ARROYO VALLEY HIGH,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,$19.00 ,Transformation,"1881 WEST BASELINE ST
SAN BERNARDINO, CA 92411
(34.1213, -117.337)"
VISTA VERDE MIDDLE,GREENFIELD,CA,GREENFIELD UNION ELEMENTARY,"$806,917.00 ",Transformation,"1199 ELM AVE
GREENFIELD, CA 93927
(36.3152, -121.245)"
CACTUS MIDDLE,PALMDALE,CA,PALMDALE ELEMENTARY,"$184,271.00 ",Turnaround,"38060 20TH ST EAST
PALMDALE, CA 93550
(34.5738, -118.094)"
SADDLEBACK HIGH,SANTA ANA,CA,SANTA ANA UNIFIED,"$197,223.00 ",Transformation,"2801 SOUTH FLOWER
SANTA ANA, CA 92707
(33.7091, -117.877)"
ROBERT LOUIS STEVENSON MIDDLE,LOS ANGELES,CA,LOS ANGELES UNIFIED,"$189,229.00 ",Restart,"725 SOUTH INDIANA ST
LOS ANGELES, CA 90023
(34.026, -118.192)"
SERRANO MIDDLE,HIGHLAND,CA,SAN BERNARDINO CITY UNIFIED,"$179,747.00 ",Turnaround,"3131 PIEDMONT DR
HIGHLAND, CA 92346
(34.1455, -117.219)"
CARVER ACADEMY,FRESNO,CA,FRESNO UNIFIED,"$105,245.00 ",Turnaround,"2463 MARTIN LUTHER KING BLVD
FRESNO, CA 93706
(36.7117, -119.799)"
CALABASAS ELEMENTARY,WATSONVILLE,CA,PAJARO VALLEY UNIFIED,"$631,759.00 ",Transformation,"202 CALABASAS RD
WATSONVILLE, CA 95076
(36.9444, -121.793)"
JOHN O'CONNELL ALTERNATIVE HIGH,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$163,043.00 ",Transformation,"2355 FOLSOM ST
SAN FRANCISCO, CA 94110
(37.7596, -122.415)"
HILLCREST DRIVE ELEMENTARY,LOS ANGELES,CA,LOS ANGELES UNIFIED,"$189,181.00 ",Transformation,"4041 HILLCREST DR
LOS ANGELES, CA 90008
(34.013, -118.348)"
HUNT ELEMENTARY,SAN BERNARDINO,CA,SAN BERNARDINO CITY UNIFIED,"$140,097.00 ",Turnaround,"1342 PUMALO ST
SAN BERNARDINO, CA 92404
(34.1386, -117.256)"
RIVERSIDE COUNTY COMMUNITY,RIVERSIDE,CA,RIVERSIDE COUNTY OFFICE OF EDUCATION,"$141,497.00 ",Transformation,"3939 13TH ST
RIVERSIDE, CA 92502
(33.9785, -117.381)"
CHUALAR ELEMENTARY,CHUALAR,CA,CHUALAR UNION ELEMENTARY,"$233,414.00 ",Transformation,"24285 LINCOLN ST
CHUALAR, CA 93925
(36.5712, -121.516)"
RIO VISTA ELEMENTARY,BAY POINT,CA,MT. DIABLO UNIFIED,"$443,230.00 ",Transformation,"611 PACIFICA AVE
BAY POINT, CA 94565
(38.0333, -121.975)"
HORACE MANN MIDDLE,SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$125,599.00 ",Transformation,"3351 23RD ST
SAN FRANCISCO, CA 94110
(37.7537, -122.42)"
STANFORD NEW SCHOOL,MENLO PARK,CA,RAVENSWOOD CITY ELEMENTARY,"$105,585.00 ",Transformation,"475 POPE ST
MENLO PARK, CA 94025
(37.4605, -122.156)"
CESAR ESTRADA CHAVEZ DUAL LANGUAGE IMMERSION CHART,SANTA BARBARA,CA,SANTA BARBARA ELEMENTARY,"$388,816.00 ",Transformation,"1102 EAST YANONALI ST
SANTA BARBARA, CA 93103
(34.4257, -119.679)"
JEFFERSON ELEMENTARY,LINDSAY,CA,LINDSAY UNIFIED,"$108,247.00 ",Turnaround,"333 NORTH WESTWOOD AVE
LINDSAY, CA 93247
(36.2038, -119.1)"
"BROWN, JR., (WILLIE L.) ELEMENTARY",SAN FRANCISCO,CA,SAN FRANCISCO UNIFIED,"$50,000.00 ",Closure,"2055 SILVER AVE
SAN FRANCISCO, CA 94124
(37.7361, -122.399)"
NORTE VISTA HIGH,RIVERSIDE,CA,ALVORD UNIFIED,"$187,562.00 ",Turnaround,"6585 CREST AVE
RIVERSIDE, CA 92503
(33.95, -117.473)"
MARCH MOUNTAIN HIGH,MORENO VALLEY,CA,MORENO VALLEY UNIFIED,"$481,154.00 ",Transformation,"24551 DRACAEA AVE
MORENO VALLEY, CA 92553
(33.9282, -117.234)"
